,Description,Difficulty,Image,Ingredients,Method,Preparation time,Serves,Title
283,A medley of herbs adds a touch of freshness to these bite-sized treats.,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMTM3ODM5YzMtYjhmZC00NTRmLTkxYTktZTZlYTBkZGJlNGMzLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['340g pork mince', '340g turkey mince', '115g whole milk ricotta', '1 tsp minced flat-leaf parsley leaves', '1 1/2 tbsp panko bread crumbs', '1/2 medium onion, grated', '1 1/2 tbsp finely grated pecorino', '1 slice streaky bacon, finely minced', '2 large cloves garlic, minced', '30ml milk', '0.5 tsp minced fresh thyme or lemon thyme', '1 large egg, beaten']}","<div class=""recipe-text"">
                            1) In a large bowl mix the pork, turkey, ricotta, parsley, panko crumbs, onion, pecorino, bacon, garlic, milk, thyme, egg, salt, Worcestershire sauce and black pepper to taste. Mix until just combined; don't overmix. The mixture will be pretty soft. <p>
2) Take tablespoons of the mixture and using your hands, gently form into meatballs about the size of ping pong balls. Put them on a large plate; cover and refrigerate for at least one or up to 24 hours.<p>
3) Heat the oil in a medium non-stick frying pan over a medium-high heat. Add about a third of the meatballs and cook, turning occasionally, until well browned on all sides, about 6 mins. Transfer the meatballs to a plate and repeat with the remaining meatballs.<p>
4) Drain off the oil and wipe out the pan. Return the meatballs to the pan and pour in the marinara sauce. Bring to a boil, lower the heat, cover and simmer until the meatballs are cooked through, about 15 mins. <p>
5) Serve the meatballs with cocktail sticks on a platter with a dollop of the sauce and a fresh leaf of basil. They can be serve warm or at room temperature.<p>
Cook's Note: Be gentle when you're forming meatballs – too firm a hand makes them dense and tough. <br/>
The uncooked meatballs can be stored, covered, in the refrigerator for three days, or frozen for up to six weeks. <br/>
The cooked meatballs can be frozen with or without the sauce. 
                        </p></p></p></p></p></div>",50 mins,N/A,Italian Cocktail Meatballs with Herbs and Ricotta
284,N/A,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtOTU4YjQ4NjktODhlZi00YTdlLWEzMjMtZjQ3MWJhOTIzZDRiLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the Crust': ['20 chocolate wafer cookies', '3 tablespoons unsalted butter, melted', '3 tablespoons sugar', 'Pinch fine salt'], 'For the Filling': ['8 ounces semisweet chocolate, finely chopped', '8 ounces cream cheese, at room temperature', '1 1/3 cups sugar, divided', '1 1/2 cups sour cream, divided', '2 large eggs, at room temperature']}","<div class=""recipe-text"">
<p>For the crust: Preheat oven to 175°C. Spray an 8-inch square metal baking pan with nonstick spray and line with foil.</p><p>Pulse the cookies in a food processor with the butter, sugar, and salt to make a fine crust. Evenly press the crust into the prepared pan taking care to cover the bottom completely. Bake until the crust sets, about 15 minutes.</p><p>Meanwhile, make the filling: Put the chocolate in a medium microwave-safe bowl; heat at 75 percent power until softened, about 2 minutes. Stir, and continue to microwave until completely melted, up to 2 minutes more. (Alternatively put the chocolate in a heatproof bowl. Bring a saucepan filled with an inch or so of water to a very slow simmer; set the bowl over, but not touching, the water, and stir occasionally until melted and smooth.)</p><p>Blend the cream cheese, 2/3 cup of the sugar, and 1/2 cup of the sour cream together in the food processor until smooth. Scrape down the sides, as needed. Add the eggs and melted chocolate then pulse until just incorporated and smooth. Pour the filling evenly over the crust and bake until the filling puffs slightly around the edges and just set in the center, about 20 minutes.</p><p>Mix the remaining cup of sour cream and 2/3 cup sugar with the creme de menthe and food coloring, if using. Carefully, spoon the mixture over the top of the chocolate and gently spread into an even layer. Bake until topping becomes glossy but is still a bit loose, about 15 minutes more. (The topping will set when cooled.) Cool on a rack. Cover and refrigerate for at least 2 hours or overnight.</p><p>Lift cheesecake out of the pan, cut into 2-inch squares, and top with chocolate curls.</p><p>Cook's Note: We prefer the delicate natural flavour of white creme de menthe versus the green.</p>
</div>",20 mins,16,Mint Chocolate Cheesecake
285,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZmM2YWRiYTktYjVlNy00NzBhLWI0MWItZjRmMTg0YzIxMTE1LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1-2 tbsp vegetable oil', '1/2 onion, finely diced', '2 cloves of garlic, finely chopped', '1 red chilli de seeded, finely chopped', '270g prepared salt fish filets (soaked overnight in two to three changes of water. Cover in water bring to the boil and simmer for fifteen minutes, cool and flake)', '490g mashed potato', '3tbsp spring onions, middle part finely sliced', '1/2 tsp salt', '1/4 tsp ground black pepper', '2tsp West Indian pepper sauce']}","<div class=""recipe-text"">
<p>Heat the oil in a medium sized frying pan. Soften the onions and add the garlic and chilli. Cook until the onions are translucent and the garlic and chilli are soft. Cool and set aside.</p>
<p>In a large mixing bowl add all the ingredients descending order, up until and including the 4tbsp breadcrumbs and combine thoroughly. Cover, and refrigerate for half an hour.</p>
<p>Roll the mixture into bite size balls. Dip the balls into the seasoned flour, then into the beaten egg and finally coat in the panko bread crumbs.</p>
<p>Shallow fry in hot vegetable oil until golden and crunchy, approximately 3-4 minutes.</p>
<p>Serve on a cocktail stick with homemade pepper sauce for dipping.</p>
</div>",15 mins,6,Jonathan Phang's Salt Fish Balls
286,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNTcxNDQ0YjAtZDgxMi00M2Q4LTgxMDEtMTBjYjY0ZjZiNjFiLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['Olive oil, for frying', '1 cup buttermilk', '2 cups Italian-style bread crumbs', '1 box store-bought cheese ravioli (about 24 ravioli)', '1/4 cup freshly grated Parmesan', '1 jar store bought marinara sauce, heated, for dipping']}","<div class=""recipe-text"">
<p> Pour enough olive oil into a large frying pan to reach a depth of 2 inches. Heat the oil over medium heat until a deep-fry thermometer registers 160°C. </p><p>While the oil is heating, put the buttermilk and the bread crumbs in separate shallow bowls. Working in batches, dip ravioli in buttermilk to coat completely. Allow the excess buttermilk to drip back into the bowl. Dredge ravioli in the bread crumbs. Place the ravioli on a baking sheet, and continue with the remaining ravioli. </p><p>When the oil is hot, fry the ravioli in batches, turning occasionally, until golden brown, about 3 minutes. Using a slotted spoon, transfer the fried ravioli to paper towels to drain. </p><p>Sprinkle the fried ravioli with Parmesan and serve with a bowl of warmed marinara sauce for dipping. </p>
</div>",15 mins,4,Fried Ravioli
287,Have a blast dipping your favourite veggies into this fruity fondue.,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZDkxZGJmYzctODkxMi00Njg4LTkyYWYtYmFlMjgyZTVhMGIwLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1 (350ml) bottle cider', '180ml chicken stock, homemade or reduced-salt tin of stock', '2 tbsp Worcestershire sauce', '1 clove garlic, finely chopped', '225g Gruyere, grated', '225g sharp yellow cheddar', '25g cornflour', '1/8 to 1/4 tsp cayenne pepper', 'Salt', '1 tbsp Bourbon, whiskey or applejack, optional'], 'For the fondue dippers': []}","<div class=""recipe-text"">
                            1) Heat the cider, stock, Worcestershire sauce and garlic in a medium pan over a medium heat and simmer for 5 mins. <p>
2) Toss the cheeses together in a medium bowl. Sift the cornflour over the cheese, and toss to coat lightly. <p>
3) Using a wooden spoon, sprinkle some cheese mixture into the warm cider/stock liquid and continue to stir in small amounts of cheese until it is all incorporated and the fondue is smooth and melted, about 15 mins. Stir in the cayenne, salt and Bourbon, if using.<p>
4) Transfer to a fondue pot or double boiler and serve with a selection of desired dippers. 
                        </p></p></p></div>",10 mins,6,Cheddar and hard cider fondue
288,Never forget the versatility of eggs for a quick fix meal any time of the day.,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZDExODM2MWItMDIxNC00MWVjLThkNzUtZmRkYWRlMTRlNTI0LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['2 tsp vegetable oil', '8 eggs', '115g crumbled smoked salmon', '2 tbsp cream cheese, softened', '75g chopped green onions, divided']}","<div class=""recipe-text"">
                            1) Heat the oil in a large frying pan over a medium heat. Combine the eggs and salmon and mix lightly with a fork. Cook until just beginning to scramble.<p>
2) Add the cream cheese and mix until everything is a smooth texture. Add 1/2 the spring onions and stir into the scrambled eggs. Cook long enough to heat through. <p>
3) Serve the salmon scrambled eggs on a plate and garnish with the remaining spring onions <br/>
</p></p></div>",10 mins,4,Scrambled Eggs with Smoked Salmon
289,Sharp cheese accompanied by cherry jam makes a gorgeously melting moment.,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZTMzZjY5MTYtZjkxYi00ZWVlLTg1MzItMzY1MzEzMDQ2N2Y5LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1 whole camembert in wooden container', '1 punnet of cherries', '3 tbsp brown sugar', '4 tbsp red wine vinegar', '4 tbsp red wine', '20g butter']}","<div class=""recipe-text"">
<p>Wash and de-stone the cherries. Place in a frying pan over a medium heat with the butter until softened, approximately three minutes. Pour over the red wine vinegar, red wine and sugar. Stir well, turn down the heat and leave to simmer for 10 minutes.</p>
<p>Remove the cheese from the plastic wrapping and place in half the wooden container it came in on the baking sheet.  Bake at 200°C for 10 minutes until almost oozing. When the cheese is ready, remove from the oven, cut a cross into the centre of the cheese and pull back the rind.  Dollop a large spoonful of the cherry jam in the centre of the cheese and serve with warm crusty bread.</p>
<p>Alternatives: Try using blueberries when cherries are not in season.</p>
</div>",10 mins,2,Melted Camembert with Cherry Jam
290,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNmNhNGU0MDgtNzIzMS00NmE1LWIwNmQtZTc1OWNiZWQ0YmMyLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['250g cooked chestnuts', '1 large banana shallot, peeled and finely sliced', '1.25l fresh chicken or vegetable stock', '150ml double cream', 'Salt and pepper', 'Olive oil for cooking'], 'For the Migas': ['75g fresh breadcrumbs', '4 sprigs of thyme, picked', '1 clove garlic, unpeeled and crushed']}","<div class=""recipe-text"">
<p>Heat a medium saucepan over a medium heat and add a lug of olive oil. Sweat the shallots down slowly until soft and then add the chestnuts. Season well, pour over the stock and bring to the boil.</p>
<p>Turn down to a simmer and cook for about 10 minutes to soften the chestnuts and reduce the stock. Once reduced, remove from the heat and add the cream. Stir well.</p>
<p>Blend the soup in a processor adding the liquid a bit at a time. You want a fairly thick, soupy consistency. Season to taste and keep warm.</p>
<p>For the Migas, fry the breadcrumbs with the garlic and thyme over a medium heat in plenty olive oil. The crumbs should be golden brown. Season to taste and drain well.</p>
<p>Divide the soup between bowls and the sprinkle over the Migas and serve with some extra thyme and olive oil.</p>
</div>",10 mins,4,Ben Tish's Chestnut Soup with Thyme Migas
291,N/A,N/A,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZGIzZmI2ODYtNjA4Ny00MmVjLTkxYzYtNTkwMTY2ZGJiNmRlLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['18 scallops', '2 tsp coriander seeds, toasted', '2 tsp cumin seeds, toasted', '1 chile de arbol', '4 small cloves garlic', '6 tbsp olive oil', '3 oranges', '1 lemon', '2 avocados', '3 heads of chicory, broken up into leaves', 'A bunch of coriander, washed and stalks removed', '½ tsp sugar']}","<div class=""recipe-text"">
<p>Bash the garlic cloves to slip them out of their skins. Toast the spices and chilli for a minute or two in a dry pan to release their flavour. Mash the peeled garlic and the toasted spices into a pulp with a pestle and mortar, with a teaspoon of salt and stir in 4 tablespoons of the olive oil.</p><p>Cut the muscles from the scallops and marinate them in half the spice mix for at least an hour.</p><p>Meanwhile cut the avocados into quarters, remove the stone and peel. Cut each quarter into 2-3 slices. Squeeze over the lemon juice and season with salt and pepper.</p><p>Segment the orange by cutting away the tops and bottoms, and cut each orange segment out from between the membrane. Squeeze the leftover membranes to get as much of the orange juice as possible.</p><p>Whisk the remaining oil into all the orange juice and add the remaining spice mix and the sugar. Check for seasoning.</p><p>Heat a frying pan over a high heat and when it is smoking hot, sauté the scallops, 6 at a time, for 3-4 minutes the first side and a minute or two on the second side until they are looking caramelised and delicious.</p><p>Carefully toss the chicory leaves, orange segments and scallops in the dressing and arrange on a large plate. Top with the avocado and torn coriander and dive in.</p>
</div>",30 mins,6,"Caramelised Scallop, Avocado and Orange Salad with Spices"
292,"Seasonal and lip-smackingly sweet, this is the ultimate clementine cocktail. ",Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtOGIzZTkyNjQtMGNmMS00OTFiLThkMzctNTFjMmYzNDI3MjdjLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['100ml Prosecco', '50ml Clementine juice', '25ml Cranberry juice', '3 Cranberries']}","<div class=""recipe-text"">
                            Place the cranberries into a Champagne glass, pour in juice and top up with Prosecco.
                        </div>",5 mins,1,Cranberry and Clementine Fizz
293,Pair succulent salmon with salty halloumi for a sensational burger.,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYTAxMTMzYjktOTlkZC00NGNhLTg3YzMtNmZlMjMwYTVmYjRkLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['Vegetable oil, for greasing', '1 (416g) or 2 (213g) tins red or pink wild Alaska salmon', '500g carrots, grated', '1 small onion, finely chopped', '100g fresh breadcrumbs', '1 large egg, beaten', '150g  Halloumi cheese, crumbled or finely chopped', '50g mature Cheddar cheese, grated', '1 tbsp fresh coriander, chopped', 'Salt and freshly ground black pepper', 'Burger buns, salad and tomato ketchup, to serve']}","<div class=""recipe-text"">
                            1) Preheat the oven to 200C/Gas 6. Grease a large baking sheet with a little vegetable oil.<p>
2) Drain the canned salmon, discarding the liquid. Remove any skin and bones, if wished, then break the salmon into small chunks.<p>
3) Put the carrots into a large mixing bowl and add the onion, breadcrumbs, egg, cheeses and coriander. Season, remembering that cheese is quite salty, so you only need a little salt. Stir in the chunks of salmon.<p>
4) Form the mixture into 6 burgers and arrange on the prepared baking sheet. Bake for about 20–25 minutes, until golden brown. Serve in burger buns with salad and tomato ketchup on the side.<p>
Cook's tip: For a lighter option, wrap and serve the burgers in crisp lettuce leaves or Chinese leaves instead of serving them in burger buns.<p>
</p></p></p></p></p></div>",20 mins,6,"Wild Alaska salmon, carrot and halloumi burgers"
294,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMDU4OGQxNmQtYTkwNi00MjYxLWEzZWUtNjZjZTgyMDlkMTlhLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['125g plain flour', '75g caster sugar', '½ tsp baking powder', 'Zest of 1 orange?', 'Zest of 1 lemon?', '50g dried cranberries', '40g pecan nuts, roughly chopped?', '50g white chocolate chips', '1 medium egg?', '1 tbsp milk']}","<div class=""recipe-text"">
<p>Preheat the oven to 180°C/Gas 4.</p>
<p>Place the flour, sugar, baking powder, orange and lemon zest, cranberries, nuts and chocolate chips in a mixing bowl and stir together until evenly dispersed.</p>
<p>Beat the egg into the milk, and then pour this into the bowl with the other ingredients. Bring everything together into a dough – I find it easiest to use my hands. Knead it gently for a minute to bring it completely together.</p>
<p>Take the dough out of the mixing bowl and roll into a fat sausage about 23 cm long. Put it on the baking sheet. (No need to line the sheet; that can make the biscuits soggy.) Bake for 25 minutes, until just golden.</p>
<p>Remove from the oven and slice into 1 cm-thick pieces – a really sharp, serrated knife is best, and you need to do it gently so the biscotti sausage doesn't crumble.</p>
<p>Place these slices back on the baking sheet and return to the oven. Immediately turn the oven down to 130°C, then bake for 15 minutes.</p>

Allow to cool completely, and you have a batch of beautifully baked biscotti.

                        </div>",10 mins,20,"John Whaite's Cranberry, Chocolate and Pecan Biscotti "
295,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMmZjZjE4OTYtNmM3Yi00Njg1LWFkNDQtNGUzZjVjODU4YzlkLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'All': ['220g jasmine rice', '1/2 cinnamon stick', '455g peeled and deveined prawns, halved lengthwise', 'One 1 1/2-inch piece fresh ginger, peeled and thinly sliced into matchstick pieces', '2 tablespoons dry sake', '1 tablespoon rice wine vinegar', '1/4 teaspoon red pepper flakes', 'Cooking spray', '2 large eggs', '2 large egg whites', 'Handful snow peas, halved']}","<div class=""recipe-text"">
<p>Prepare the rice according to package directions, adding the cinnamon stick with the water. Fluff the rice, discard the cinnamon stick and set aside to cool.</p>
<p>Toss the prawns with half of the ginger, 1 tablespoon of the sake, the vinegar and pepper flakes in a medium bowl. Let marinate 10 to 15 minutes. Mist a large nonstick pan with cooking spray and heat over medium-high heat until very hot. Add the prawns with the marinade and cook, stirring, until just opaque, 2 minutes. Transfer to a large plate and set aside.</p>
<p>Mist the same pan and return to medium-high heat. Lightly beat the eggs and egg whites and add to the pan. Cook until scrambled, breaking up with a spatula and transfer to the same plate as the prawns.</p>
<p>Return the pan to medium-high heat, mist with nonstick spray and add the snow peas, carrots, garlic, onions and remaining ginger. Cook, stirring, until softened and crisp-tender, 5 minutes. Transfer to the same plate as the prawns and eggs.</p>
<p>Return the pan to medium-high heat and add the vegetable oil. Add the cooled rice, toss with the oil and pack in the pan in a firm layer. Cook, without stirring, until the bottom of the rice is browned and crusty. Stir the rice and pack it in another layer. Repeat the process until the rice is well toasted and browned, and stopping if the rice seems to be getting dry. Add back the prawns, eggs and vegetables along with the remaining 1 tablespoon sake and soy sauce and toss well to combine. Remove from the heat and top with the sliced spring onions. </p>
</div>",20 mins,4,Lightened Prawn Fried Rice
296,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtY2M4ZWI2MDAtMjg2NS00ZjgzLTkyYjMtNGI2ZjI5MjczM2M5LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1/2 orange, cut into 3 wedges', '1/2 lime, cut into 3 wedges', '2 teaspoons sugar', '1 or 2 sprigs fresh mint', '2 1/2 ounces white rum', '1 cup crushed ice']}","<div class=""recipe-text"">
<p> Put the oranges, limes, sugar, and mint in a large rocks glass. Muddle the leaves and citrus by pressing them with a pestle or a wooden spoon until juicy and fragrant. Add the rum and ice. Cover with a cocktail shaker and shake vigorously, or stir, until combined and chilled, about 30 seconds. (In general, by the time the shaker mists up the drink is ready.) Serve.</p><p>Copyright (c) 2004 Television Food Network, G.P., All Rights Reserved. </p>
</div>",4 mins,1,Orange Mojito
297,Sharp pickled cucumber cuts perfectly through smooth salmon. ,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMDhiYTE5MjQtN2FiMC00YzhlLWI4ZWYtYzRmMzZkMGMwODhjLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['200g poached fresh salmon fillet flaked', '200g smoked salmon chopped', '1 tbsp mayonnaise', '3 tbsp crème fraiche', '1 tsp creamed horseradish', '½ lemon juice', 'Pinch cayenne pepper', '1 tbsp chopped chives', '½ tbsp chopped dill', 'Sprig dill for garnish'], 'For the Pickled Cucumber': ['½ cucumber peeled and finely sliced']}","<div class=""recipe-text"">
<p>In a large bowl mix all the ingredients for the salmon rillette and season with salt. Spoon into 4 x 200ml kiln jars. Smooth the surface of the rillette with the back of a spoon. Place in the fridge until ready to serve. To pickle the cucumber, warm the vinegar and sugar until the sugar dissolves. When cool add the cucumber slices. Leave in the liquid for one hour. </p>
<p>To make the Melba toast, toast the bread, cut off the crusts, slice in half to obtain two thin squares, place the cut size on a chopping board and gently rub against the board to remove the excess bread. Cut in half diagonally, place on a tray and leave in a low oven for ten minutes. To serve, place a few slices of pickled cucumber on the rillette, garnish with a sprig of dill and serve with the Melba toast.</p>
<p><i>Inactive prep. time: 1 hour.</i></p>
</div>",20 mins,4,Smoked Salmon Rillette with Pickled Cucumber
298,N/A,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZDIxNjY0NzctMWQxYi00OGFiLTg2MzItZGYyMGQzODQ0ZjBjLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['600g boneless pork belly, skin scored', 'Salt', '4 Conference pears', '2 tbsp butter', '2 tbsp caster sugar', '600g high quality black pudding', '2 tbsp chives, finely chopped', 'Salt and pepper'], 'For the coating': ['130g plain flour', '4 eggs, beaten with a dash of milk', '410g fresh breadcrumbs', '200g porridge oats']}","<div class=""recipe-text"">
<p>Pre-heat oven to 220°C.</p>
<p>Rub salt over the skin and roast the pork belly, skin side up for 30-40 minutes to crisp up into crackling.</p>
<p>Turn the oven down to 120°C and roast for a further 1 1/2 hours until very tender.</p>
<p>Meanwhile peel, quarter and de-seed the pears and cut them into chunks. In a saucepan over a medium heat, melt the butter, add the pears and caster sugar and cook until the pears become soft and start to stew. This will take around 25 minutes. If the mixture is still very chunky, mash with a fork to get a smoother consistency. Take off the heat and allow to cool.</p>
<p>Next, peel the black pudding and discard the skin. Cut into chunks and blend in a food processor until mixed but not pureed. Divide the mix into two and between two sheets of greaseproof paper roll each mix thinly into rectangles that will fit into an 20cm x 5cm rectangle tray. Place in the fridge to set, until it's needed.</p>
<p>Remove the pork from the oven and rest for 15 minutes.</p>
<p>Carefully peel or cut the crackling away from the meat and, if you can resist, put it to one side. Shred the boneless meat with two forks, the meat should resemble string and tear very easily. Season the meat, and add the chopped chives and leftover cooking fat from the pork, mixing thoroughly. In the bowl roughly divide into two and put to one side.</p>
<p>Line the tray with two layers of cling-film. Take one sheet of black pudding and lay in the bottom of the tin. Then take half of the pork belly mix and lay on top of the black pudding keeping as level as possible.</p>
<p>Next, spoon on the pear sauce, spreading evenly. Then add the second layer of pork belly and finish off with the final layer of black pudding.</p>
<p>Wrap tightly in cling film with a weight on top and rest in the fridge for four hours or overnight.
Unwrap and cut into neat 5cm squares. You should end up with 20 even squares.</p>
<p>Flour, egg-wash and breadcrumb each cube, then egg-wash again and roll the cubes in porridge oats until completely covered.</p>
<p>Deep fry the cubes at 176°C for 4-5 minutes until crispy.</p>
</div>",30 mins,20,Black Pudding Fritters
299,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYjIzOTgyM2EtMmNiZi00ZGU5LWFlNDMtZDA4NDkyYTIzMGRlLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'All': ['3 scoops vanilla ice cream', '1 ounce bourbon', '2 tablespoons caramel ice cream topping', '1 dollop whipped cream', '1/2 toffee bar, chopped for garnish']}","<div class=""recipe-text"">
<p>In a blender, combine the ice cream and the bourbon. Blend on high speed until the desired consistency is reached (the longer you blend, the thicker the milkshake). In a medium glass, drizzle the caramel in a spiral around the inside of the glass. To help distribute the caramel evenly turn the glass as you drizzle. Pour the milkshake into the glass, and stop when almost full. Top with the dollop of whipped cream and a sprinkle of toffee pieces.</p>
<p><em>Recipe courtesy BLT Burger</em></p>
</div>",5 mins,1,Grandma&#039;s Treat
